reward,step_time,total_stopped,total_wait_time
144.0,1050.0,17,1102.0
-19.0,1055.0,11,1166.0
-64.0,1060.0,13,1222.0
-56.0,1065.0,14,1156.0
66.0,1070.0,13,922.0
234.0,1075.0,11,913.0
9.0,1080.0,12,974.0
-61.0,1085.0,7,892.0
82.0,1090.0,3,676.0
216.0,1095.0,4,637.0
39.0,1100.0,9,671.0
-34.0,1105.0,14,731.0
-60.0,1110.0,16,691.0
40.0,1115.0,12,551.0
140.0,1120.0,12,607.0
-56.0,1125.0,14,679.0
-72.0,1130.0,15,750.0
-71.0,1135.0,16,706.0
44.0,1140.0,13,542.0
164.0,1145.0,13,605.0
-63.0,1150.0,13,670.0
-65.0,1155.0,15,736.0
-66.0,1160.0,18,686.0
50.0,1165.0,15,554.0
132.0,1170.0,16,613.0
-59.0,1175.0,13,686.0
-73.0,1180.0,11,652.0
34.0,1185.0,8,525.0
127.0,1190.0,7,555.0
-30.0,1195.0,11,603.0
-48.0,1200.0,13,664.0
-61.0,1205.0,19,753.0
-89.0,1210.0,27,875.0
-122.0,1215.0,33,1033.0
-158.0,1220.0,37,1215.0
-182.0,1225.0,31,1253.0
-38.0,1230.0,23,1128.0
125.0,1235.0,16,1215.0
-87.0,1240.0,14,1288.0
-73.0,1245.0,15,1355.0
-67.0,1250.0,21,1449.0
-94.0,1255.0,29,1580.0
-131.0,1260.0,35,1747.0
-167.0,1265.0,38,1934.0
-187.0,1270.0,32,1926.0
8.0,1275.0,22,1607.0
319.0,1280.0,15,1610.0
-3.0,1285.0,11,1676.0
-66.0,1290.0,8,1547.0
129.0,1295.0,3,1178.0
369.0,1300.0,4,1191.0
-13.0,1305.0,9,1224.0
-33.0,1310.0,9,1115.0
109.0,1315.0,7,851.0
264.0,1320.0,7,879.0
-28.0,1325.0,10,919.0
-40.0,1330.0,17,991.0
-72.0,1335.0,19,921.0
70.0,1340.0,16,626.0
295.0,1345.0,14,683.0
-57.0,1350.0,14,750.0
-67.0,1355.0,14,813.0
-63.0,1360.0,13,713.0
100.0,1365.0,11,511.0
202.0,1370.0,11,517.0
-6.0,1375.0,9,571.0
-54.0,1380.0,13,627.0
-56.0,1385.0,15,570.0
57.0,1390.0,14,436.0
134.0,1395.0,10,348.0
88.0,1400.0,6,345.0
3.0,1405.0,9,380.0
-35.0,1410.0,13,436.0
-56.0,1415.0,13,430.0
6.0,1420.0,9,342.0
88.0,1425.0,10,351.0
-9.0,1430.0,10,403.0
-52.0,1435.0,12,457.0
-54.0,1440.0,19,540.0
-83.0,1445.0,25,655.0
-115.0,1450.0,32,803.0
-148.0,1455.0,32,845.0
-42.0,1460.0,22,770.0
75.0,1465.0,17,823.0
-53.0,1470.0,11,889.0
-66.0,1475.0,7,830.0
59.0,1480.0,6,639.0
191.0,1485.0,6,663.0
-24.0,1490.0,9,700.0
-37.0,1495.0,8,651.0
49.0,1500.0,4,512.0
139.0,1505.0,6,502.0
10.0,1510.0,10,543.0
-41.0,1515.0,7,500.0
43.0,1520.0,6,369.0
131.0,1525.0,6,349.0
20.0,1530.0,9,384.0
-35.0,1535.0,15,445.0
-61.0,1540.0,16,425.0
