direction,ES,ES,ES,ES,ES,ES,ES,ES,ES,ES,ES,ES,ES,ES,ES,ES,ES,ES,ES,ES,ES,ES,ES,ES,EW,EW,EW,EW,EW,EW,EW,EW,EW,EW,EW,EW,EW,EW,EW,EW,EW,EW,EW,EW,EW,EW,EW,EW,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,SN,SN,SN,SN,SN,SN,SN,SN,SN,SN,SN,SN,SN,SN,SN,SN,SN,SN,SN,SN,SN,SN,SN,SN,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,WE,WE,WE,WE,WE,WE,WE,WE,WE,WE,WE,WE,WE,WE,WE,WE,WE,WE,WE,WE,WE,WE,WE,WE,WN,WN,WN,WN,WN,WN,WN,WN,WN,WN,WN,WN,WN,WN,WN,WN,WN,WN,WN,WN,WN,WN,WN,WN
hour,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
minute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1,1,0,0,0,0,3,1,10,3,6,1,1,1,5,1,4,5,8,2,0,2,1,2,2,0,0,1,1,0,6,8,30,11,14,7,12,14,14,16,8,12,7,1,1,1,1,2,0,0,0,0,0,0,2,1,4,3,4,3,1,1,2,3,5,3,0,1,2,0,0,0,1,1,1,1,2,1,6,8,8,18,12,14,15,18,8,15,21,15,19,11,7,4,1,0,1,0,1,2,2,1,9,17,42,16,11,15,12,15,11,12,20,11,9,9,4,6,2,2,0,4,0,0,1,2,2,27,17,13,10,13,9,10,15,7,9,8,22,7,9,12,2,3,1,1,0,0,1,1,3,12,16,11,20,8,14,29,19,19,19,39,31,12,4,6,2,1,0,0,1,0,0,0,0,3,6,3,10,5,2,4,8,5,6,6,3,2,2,1,0,0
19,0,0,0,0,0,0,1,0,4,3,1,8,3,1,1,4,1,18,8,2,4,0,0,0,1,0,0,1,1,1,6,5,11,15,7,19,4,14,3,14,10,9,3,4,6,2,1,0,0,0,0,0,0,0,2,0,2,1,4,4,2,1,3,5,4,3,2,0,1,1,1,0,2,1,0,3,3,3,2,12,11,14,20,17,8,15,17,12,17,23,10,7,3,4,0,0,2,1,1,1,0,1,3,11,28,18,16,16,12,19,10,6,21,12,7,4,6,2,0,1,0,0,0,1,0,0,2,14,24,19,11,12,5,12,17,12,13,7,10,4,15,3,4,1,2,0,0,0,0,0,9,28,8,21,15,22,23,19,17,26,26,44,14,6,9,15,2,4,0,0,0,0,0,0,0,5,3,12,8,6,5,10,6,7,10,7,2,4,2,0,2,0
20,0,0,0,0,0,0,0,1,4,4,5,4,5,5,5,5,6,8,3,0,1,0,2,1,1,0,0,2,0,4,2,18,6,9,14,16,12,5,7,13,12,2,9,1,4,4,3,2,0,0,0,0,0,0,1,1,2,3,1,3,2,2,1,2,3,2,0,1,1,0,0,0,3,0,0,1,1,3,9,7,12,18,20,11,18,16,14,16,18,29,9,10,2,3,3,0,1,1,2,1,2,2,4,13,35,13,18,10,11,7,15,17,13,8,10,5,5,4,3,1,2,0,3,0,0,4,5,25,15,9,12,8,7,11,12,13,5,4,13,9,8,4,4,2,1,1,0,0,1,2,2,27,24,16,28,11,31,18,19,17,43,50,19,2,9,6,4,4,0,0,0,0,1,0,3,4,11,8,16,3,5,8,7,4,6,7,2,0,3,0,1,0
21,0,0,0,0,2,0,0,3,0,1,5,4,2,2,4,3,7,10,2,1,0,0,0,0,1,0,0,0,1,3,5,9,10,8,12,9,7,4,14,13,6,5,3,6,0,1,1,1,0,0,0,0,0,0,1,1,2,4,4,1,1,3,3,0,2,3,2,1,0,1,0,0,3,1,0,2,1,4,6,7,12,8,22,24,10,21,22,16,13,26,14,4,4,2,3,0,1,0,0,0,1,1,2,6,31,15,15,12,11,8,12,10,16,6,9,5,5,1,3,2,1,1,3,1,0,2,2,15,21,12,13,9,7,14,4,16,11,21,15,6,4,5,3,4,3,0,0,1,3,4,7,14,10,24,16,27,25,15,28,25,27,37,27,7,16,8,3,1,1,0,0,0,0,1,0,1,12,8,10,10,2,6,5,8,13,8,8,1,2,1,1,0
22,2,0,0,0,0,1,1,3,3,7,2,4,4,2,2,6,7,11,1,0,2,1,1,0,1,0,1,0,0,1,3,10,6,18,6,12,8,12,5,13,4,13,15,1,11,1,2,1,0,0,0,0,0,2,0,2,3,3,1,4,0,1,1,2,0,3,2,1,0,0,0,0,0,0,0,4,3,1,4,8,17,12,13,11,12,10,13,29,26,14,8,7,4,1,2,0,1,1,2,2,2,1,6,11,30,19,8,12,12,18,6,22,9,9,5,4,3,4,3,1,5,2,1,0,0,6,7,20,20,15,13,11,7,11,17,11,15,6,6,11,3,6,3,2,3,0,0,0,2,1,2,22,8,22,22,35,15,15,25,23,41,42,3,18,10,6,6,4,0,0,0,0,0,2,1,3,5,12,7,10,6,5,5,14,4,3,1,2,0,0,1,0
23,1,0,0,0,0,0,2,4,2,2,3,6,6,1,4,1,6,7,8,0,0,4,1,0,0,1,0,0,0,2,2,14,15,14,17,2,21,6,9,13,12,12,7,1,1,2,3,2,0,0,0,0,1,0,1,2,3,3,0,4,2,1,2,5,2,3,1,1,1,1,0,0,2,0,1,2,0,3,4,7,6,8,19,12,4,24,20,15,16,23,6,6,4,3,2,0,0,1,1,0,1,5,8,12,20,24,10,14,9,16,17,12,12,14,5,4,5,5,1,1,2,2,1,0,2,3,7,20,26,11,15,10,5,8,18,3,14,11,18,4,8,5,2,2,2,0,0,1,1,2,5,23,51,11,26,20,19,25,16,23,27,29,34,17,13,8,3,3,0,1,0,0,0,0,0,3,13,8,7,6,3,9,9,4,8,5,1,4,1,0,2,0
24,2,0,0,0,0,0,0,6,4,1,8,6,1,4,4,5,2,16,4,2,1,0,0,0,0,1,0,0,1,3,6,16,15,14,11,14,6,15,9,16,4,12,3,2,0,5,1,0,0,0,0,0,0,0,2,1,3,1,2,2,2,1,1,1,0,2,1,1,2,2,0,1,2,0,1,2,4,3,5,6,14,10,15,14,18,17,15,23,16,19,8,8,2,4,2,1,1,0,0,0,1,0,4,12,17,19,12,12,16,14,14,15,11,9,11,1,6,5,4,1,3,4,0,3,0,0,3,21,23,12,14,7,9,13,12,12,19,6,10,9,6,9,2,1,1,1,0,2,0,1,5,18,3,28,17,23,8,19,24,28,19,60,11,14,0,6,8,0,1,1,0,0,0,0,0,7,4,10,10,13,4,6,12,3,6,7,2,2,0,1,1,0
25,0,0,0,0,0,1,1,5,2,4,8,3,6,6,1,1,7,5,2,0,1,0,1,0,2,1,0,0,0,2,2,24,1,23,15,20,19,8,15,8,11,8,7,6,7,1,1,1,0,0,0,0,0,0,1,1,0,2,3,7,2,3,2,2,4,2,1,3,1,1,1,0,0,1,0,2,1,2,2,13,10,17,17,14,10,18,16,16,18,19,18,8,2,1,1,1,2,2,1,0,2,3,6,13,27,15,16,9,10,8,16,10,12,16,4,1,5,2,2,2,1,0,1,2,1,1,6,25,12,8,15,10,7,13,17,6,10,12,10,8,7,5,2,1,1,2,1,2,1,6,6,11,18,16,26,24,22,16,27,21,19,33,22,13,8,9,6,5,0,0,0,0,1,0,1,5,7,14,11,7,2,4,12,5,7,3,1,3,2,0,2,0
26,0,0,0,1,0,0,1,3,3,3,5,4,0,2,4,5,7,17,5,5,3,1,0,0,0,1,0,0,0,1,4,4,22,11,14,7,6,10,17,8,9,12,4,3,1,5,0,2,0,0,0,0,1,0,1,0,3,2,4,2,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,2,0,1,2,12,15,17,9,16,20,9,15,22,9,15,9,4,2,1,3,0,1,1,1,0,2,0,3,11,24,16,17,9,16,11,6,13,11,8,6,2,4,1,0,2,1,0,0,1,1,1,4,18,15,14,10,12,6,19,19,8,10,10,13,8,4,7,0,1,0,1,0,3,1,3,2,23,17,22,13,12,13,27,16,18,27,46,31,7,6,10,2,1,0,1,2,0,0,1,1,6,4,7,11,6,6,9,2,3,8,6,1,2,0,1,2,0
27,2,0,0,0,0,0,0,3,1,4,3,7,1,3,3,1,3,2,5,3,3,2,0,0,0,1,0,0,1,1,5,12,12,15,9,6,3,13,2,11,7,4,3,3,4,1,1,2,0,0,0,0,0,1,0,1,2,4,4,3,0,0,0,3,2,1,1,0,1,1,0,0,3,0,0,1,1,2,8,8,18,13,15,17,11,25,15,15,20,24,6,5,5,2,0,2,0,1,1,1,0,0,4,18,26,14,17,18,8,10,7,10,9,19,1,1,4,1,1,2,2,2,0,0,1,2,6,31,17,19,4,14,9,12,9,6,8,12,12,5,5,2,1,0,1,1,0,1,1,2,9,4,16,18,20,32,9,24,20,28,22,24,26,13,9,12,2,6,0,0,0,0,0,0,4,1,10,8,3,7,6,4,7,7,4,4,3,1,1,0,0,0
28,1,1,0,0,0,2,3,9,1,1,2,6,1,1,4,2,10,15,4,0,1,1,0,0,0,0,0,1,1,0,1,13,11,11,12,3,5,5,19,2,10,7,6,4,7,1,0,2,0,0,0,0,1,0,2,1,2,1,1,2,3,2,1,3,1,2,2,2,0,0,2,0,1,0,2,1,2,1,2,8,17,20,12,20,10,17,18,23,15,15,8,6,3,1,0,0,5,0,1,0,0,3,5,18,20,16,15,12,15,19,10,14,15,16,3,5,5,1,1,2,0,0,0,2,1,1,4,21,11,6,16,12,9,14,18,11,8,10,6,10,6,2,0,2,4,0,0,0,2,1,2,34,25,13,22,19,22,21,16,27,38,34,20,10,10,5,2,3,0,0,0,0,0,0,2,6,4,7,7,4,10,5,9,7,7,6,3,4,3,0,0,0
29,0,0,0,0,0,0,3,0,4,3,6,3,3,2,5,6,3,8,1,3,0,0,0,1,2,1,0,1,0,2,2,5,18,6,10,7,11,13,10,15,10,9,4,4,0,4,1,2,0,0,0,0,0,0,0,0,4,2,3,3,3,3,2,3,3,3,1,4,2,0,0,0,0,2,0,0,1,3,5,8,11,18,24,13,17,13,13,12,21,19,12,8,0,0,1,0,0,0,0,0,0,1,6,16,30,9,16,10,5,12,17,12,7,7,7,0,6,1,3,1,0,0,0,3,0,2,4,38,19,13,11,14,3,14,27,11,8,9,15,7,3,5,2,1,2,0,1,0,0,6,6,2,17,14,20,30,16,21,23,28,29,38,21,4,16,5,3,0,0,0,0,1,0,0,1,2,7,6,6,5,2,7,4,4,10,7,1,1,0,1,3,0
30,0,0,0,0,0,1,1,7,2,9,1,5,2,1,2,3,6,16,2,2,2,0,2,0,0,0,1,1,0,2,6,12,9,17,4,12,4,17,10,10,10,9,3,3,0,0,4,0,0,0,0,0,0,0,0,3,4,4,1,0,5,1,2,2,3,4,0,0,1,0,0,0,0,0,1,2,1,4,7,10,21,17,11,17,20,13,11,21,11,20,11,8,2,3,0,1,2,1,0,0,1,1,2,11,16,12,21,10,9,14,15,17,11,11,3,4,4,0,3,4,0,1,0,0,0,0,10,17,24,12,15,7,12,11,14,8,9,16,8,8,11,9,2,2,1,0,0,0,0,6,8,43,12,23,9,24,16,11,16,19,36,36,28,11,7,5,8,3,0,0,0,0,0,1,4,4,8,9,11,4,4,4,5,16,6,4,4,1,0,1,0,1
31,0,1,0,0,0,0,2,2,4,3,6,3,6,1,3,1,3,8,1,0,2,0,1,0,1,0,0,0,1,2,6,14,12,21,11,7,16,4,20,3,14,7,2,5,1,3,0,0,0,0,0,0,0,0,1,1,3,4,2,5,3,1,2,2,1,7,2,0,0,1,0,1,0,0,0,1,0,0,7,10,12,22,18,8,15,19,9,32,24,12,11,8,5,2,0,2,0,0,0,1,0,1,2,11,23,19,15,15,17,10,14,11,14,8,6,4,2,4,2,0,2,0,1,1,2,2,0,28,19,14,10,10,10,9,18,11,8,15,8,5,5,8,2,3,1,0,0,3,1,3,7,6,16,23,22,15,12,12,13,16,19,60,11,10,17,3,1,0,0,0,0,0,0,3,1,2,3,8,12,7,9,7,5,2,11,8,1,1,0,0,0,1
32,1,0,0,0,0,1,1,2,1,1,2,2,2,7,3,9,1,12,2,0,1,1,1,1,1,1,1,0,1,1,4,5,13,16,11,10,13,17,4,23,2,12,8,4,2,3,1,0,0,0,0,0,0,1,0,2,1,4,1,3,1,2,1,0,1,2,0,1,2,1,0,0,0,1,0,1,1,3,3,12,6,16,13,20,15,13,15,16,7,8,15,4,8,2,2,2,2,0,0,2,1,1,4,15,17,18,16,17,12,19,17,9,19,13,2,7,4,2,0,1,1,0,0,2,0,0,7,21,15,13,11,13,4,19,14,11,10,14,6,8,12,2,2,0,3,1,0,0,5,3,2,40,20,21,10,19,19,18,30,32,28,40,33,4,2,10,7,1,0,1,0,0,1,0,2,3,11,7,6,5,8,6,7,3,7,6,4,2,1,0,1,0
33,0,0,0,0,0,0,0,8,4,2,4,4,0,6,1,3,3,14,2,0,1,1,4,0,0,0,1,0,1,0,2,16,4,14,8,12,15,12,14,4,14,6,9,1,2,0,1,0,0,1,0,0,0,0,0,2,2,0,4,0,4,4,4,3,1,1,0,0,1,0,0,0,0,0,1,1,5,5,9,10,18,15,13,14,14,17,15,23,21,24,17,10,1,4,1,1,2,2,0,3,0,3,7,21,26,11,11,13,15,20,15,16,12,14,6,3,2,3,0,0,1,2,0,0,0,3,5,22,20,6,15,10,7,11,10,9,9,8,11,14,7,2,5,1,0,0,1,1,0,2,11,16,19,13,20,22,16,13,22,29,19,39,19,13,8,1,3,4,0,0,0,0,0,1,6,2,7,3,8,9,6,4,10,6,4,7,4,1,1,0,1,0
34,0,0,0,0,0,0,2,4,6,4,6,3,2,4,3,5,4,10,3,2,0,0,1,0,0,1,0,1,1,1,4,11,21,3,18,5,9,8,15,14,14,11,4,10,0,4,0,1,0,0,0,0,0,0,0,1,4,7,1,1,1,1,1,1,3,3,2,1,1,0,0,0,2,1,0,1,0,3,7,11,9,7,20,14,12,15,19,18,15,29,8,3,6,0,0,1,2,1,2,3,2,2,4,16,23,18,16,16,8,14,12,15,8,14,2,3,9,1,4,6,2,0,1,1,2,2,11,29,19,20,19,9,5,18,9,13,9,8,6,1,8,10,3,3,1,0,1,0,0,4,5,34,24,26,19,20,19,21,21,17,52,36,19,4,11,8,2,6,0,0,0,1,0,1,5,5,10,9,5,9,8,8,9,8,8,4,2,1,1,2,0,1
35,0,0,0,0,0,0,1,2,1,4,3,3,3,3,4,5,2,15,0,3,1,1,1,1,0,0,0,0,0,2,5,8,7,22,8,11,5,13,3,11,4,9,3,2,1,1,2,0,0,0,0,0,0,0,0,5,3,1,3,2,1,1,1,3,2,3,1,0,0,0,0,0,1,1,0,0,1,2,5,9,19,20,11,15,9,12,7,22,16,24,15,7,3,5,3,2,0,0,1,1,2,5,3,17,23,14,8,6,10,20,9,17,14,14,7,6,3,2,4,1,0,0,0,0,0,3,9,14,18,19,10,13,11,13,18,9,7,9,11,10,6,11,2,1,0,0,1,1,1,1,6,13,16,34,18,22,9,18,27,20,27,43,17,7,11,6,0,0,0,0,0,1,1,2,7,5,7,8,12,5,8,5,10,5,5,6,1,2,2,0,0,0
36,0,1,0,1,0,0,0,10,6,3,3,7,2,4,2,1,4,8,6,1,0,1,1,0,0,1,0,0,0,5,1,20,24,13,10,12,8,6,14,7,10,2,8,2,1,0,1,1,0,0,1,0,0,0,0,2,2,0,4,3,0,3,5,2,2,7,0,0,1,0,0,0,0,0,3,2,1,2,6,14,14,12,19,20,11,11,20,17,29,30,7,5,6,4,0,5,0,1,0,3,0,3,9,20,19,17,18,18,12,13,11,13,6,15,6,3,5,3,0,0,1,2,0,3,1,1,5,19,15,11,12,8,4,11,15,3,6,13,9,9,9,8,1,0,0,0,2,4,2,0,4,18,34,22,12,28,24,20,8,36,43,51,26,6,9,3,4,3,0,0,0,0,0,0,2,3,11,9,3,10,6,5,8,11,7,7,2,2,0,0,0,0
37,0,0,0,0,0,0,2,4,6,2,2,2,1,4,3,7,1,15,1,4,0,1,0,2,0,0,0,1,1,0,10,7,18,3,18,8,8,10,10,18,13,9,1,2,4,3,2,1,0,0,0,0,0,0,1,2,5,3,1,1,2,0,2,0,3,1,2,0,0,0,0,0,0,0,1,0,0,2,7,8,16,21,12,15,16,13,17,11,13,21,12,9,0,1,3,1,1,2,2,1,1,2,8,21,28,22,17,14,16,12,10,15,12,7,1,3,5,1,5,1,2,1,0,0,1,2,7,19,12,17,16,9,9,8,9,13,4,10,4,5,11,6,6,1,4,0,1,0,1,1,6,16,17,11,19,25,16,21,13,17,15,64,14,14,11,7,0,0,0,0,0,0,1,0,2,7,6,5,7,8,6,4,8,3,8,9,0,0,1,1,3,0
38,0,0,0,0,0,1,2,13,2,7,1,7,2,8,2,4,5,8,2,2,1,0,0,0,0,2,1,1,0,2,8,33,8,11,10,18,10,18,15,10,9,4,10,3,5,1,2,0,0,0,0,0,2,1,0,2,3,2,2,1,1,3,4,0,2,2,1,0,0,0,0,0,0,1,0,2,2,1,5,11,19,19,26,17,12,11,16,15,18,22,7,4,5,1,1,1,0,2,0,2,2,5,7,15,25,18,12,7,8,19,17,9,7,8,8,4,3,3,2,2,1,0,0,1,2,4,6,43,16,13,18,9,7,9,22,12,13,11,6,3,9,6,5,0,3,0,0,1,0,1,5,12,8,22,20,27,15,16,38,38,25,32,19,17,4,9,4,1,0,0,0,1,1,0,0,2,4,9,4,6,2,2,10,12,6,8,3,4,0,0,0,0
39,1,0,0,0,0,1,3,13,5,4,3,1,2,1,4,2,4,17,8,2,1,0,0,0,0,2,0,1,0,4,11,16,18,5,18,9,17,7,16,5,15,11,9,8,1,5,0,0,0,0,1,0,0,0,1,2,1,2,2,2,4,2,2,3,3,2,2,2,1,1,0,0,2,2,1,4,1,3,2,8,19,15,18,21,17,12,11,17,13,23,10,5,7,5,1,0,1,0,0,1,1,1,9,19,14,16,14,12,13,11,19,7,11,7,9,5,3,6,1,3,2,0,0,0,0,4,11,11,17,20,11,14,8,18,16,15,8,6,3,2,12,4,3,1,0,0,0,0,0,4,9,25,25,14,22,23,19,12,18,27,22,37,19,12,6,4,2,2,0,0,1,1,2,0,3,4,5,10,6,10,11,9,5,9,3,9,0,0,2,1,0,1
40,1,0,0,0,0,0,2,4,6,4,2,7,5,6,5,4,6,4,2,0,0,1,1,1,1,0,0,0,1,4,8,7,16,17,15,20,11,21,9,13,7,8,4,5,3,1,2,0,0,0,0,0,0,1,0,2,3,4,3,2,1,5,1,4,3,3,2,1,1,0,0,0,2,1,1,1,0,3,5,13,10,20,23,18,11,20,16,10,16,23,8,4,5,2,1,4,1,2,1,1,1,2,2,16,19,13,17,17,15,14,20,9,11,9,4,4,4,1,1,7,0,0,1,0,1,0,20,45,23,12,8,12,5,11,22,11,11,7,13,6,7,10,4,4,2,0,0,1,1,3,7,7,29,13,10,17,15,21,28,22,29,35,23,5,4,11,0,0,0,0,1,0,0,0,1,3,6,10,8,6,3,3,12,7,8,2,0,0,0,1,0,0
41,0,0,0,1,0,2,1,8,2,2,3,1,5,6,7,5,6,14,5,1,5,0,1,1,0,0,1,0,1,6,3,24,6,18,6,16,9,11,13,8,15,8,14,1,4,1,2,1,0,0,0,0,0,0,0,1,3,2,0,3,2,0,3,4,4,1,1,0,0,0,0,0,2,1,1,1,1,6,2,10,18,14,3,22,7,9,24,23,9,23,14,3,2,4,1,1,1,0,0,1,0,2,11,22,24,15,12,16,12,12,7,10,19,14,4,8,7,3,4,2,1,0,0,2,3,2,7,9,10,16,17,5,6,14,16,12,6,8,6,5,8,5,6,0,2,0,0,2,2,4,14,27,15,14,22,30,8,23,23,24,30,46,13,12,4,7,6,1,0,0,0,0,0,2,4,7,7,5,5,5,7,7,7,6,3,4,4,0,1,1,0,0
42,0,0,0,1,0,1,2,4,2,3,2,4,1,5,5,1,5,9,0,1,3,0,0,0,0,0,0,0,0,3,8,6,17,2,17,5,7,6,9,6,8,17,2,3,0,5,0,0,0,0,0,0,0,0,0,5,3,3,2,2,5,2,2,1,7,2,2,0,0,0,0,0,1,0,1,0,0,3,2,12,12,20,18,16,9,22,13,18,30,16,12,6,3,3,2,2,2,0,4,0,1,2,3,17,34,11,11,8,8,10,11,21,16,15,7,3,6,3,2,2,2,0,0,0,0,3,9,35,14,12,13,10,5,12,19,22,3,10,10,5,10,3,1,1,1,2,0,2,1,7,4,5,25,17,19,25,23,25,17,24,34,33,8,15,15,3,2,2,0,0,0,0,0,0,2,0,2,8,7,9,4,10,3,6,9,5,0,0,1,0,0,0
43,0,0,0,0,0,0,3,7,1,2,2,6,4,4,5,2,5,14,2,0,0,1,0,0,2,0,0,0,0,2,7,29,10,13,4,11,2,10,12,13,4,12,4,3,1,0,1,0,0,0,0,1,0,0,0,4,1,1,0,2,1,5,2,2,1,4,2,2,0,1,0,1,0,1,2,0,3,2,3,7,19,14,19,22,18,9,22,9,14,35,13,6,3,2,2,0,1,4,2,2,1,3,10,24,17,20,27,10,20,18,16,12,15,11,7,4,3,1,3,1,1,2,1,1,1,4,4,25,16,14,13,12,10,14,20,10,10,9,5,9,3,4,3,1,1,4,1,1,1,4,8,45,18,13,28,12,8,25,27,26,23,51,15,8,6,5,1,0,0,0,0,0,0,0,3,13,7,9,6,2,4,3,9,4,4,8,2,1,3,1,1,0
44,0,0,0,0,0,0,0,6,6,7,1,4,3,3,5,2,10,10,5,0,3,1,0,0,0,1,1,1,0,3,3,14,9,7,5,7,10,4,14,5,10,3,3,2,2,0,2,0,0,0,0,0,0,1,0,2,3,1,3,2,2,0,0,3,1,0,1,1,0,0,0,0,1,1,4,2,1,5,3,8,14,23,13,20,21,15,7,19,29,16,5,8,2,0,1,0,1,1,0,0,0,0,5,17,26,25,19,18,12,10,13,14,8,11,7,4,6,1,1,2,2,0,0,1,0,4,11,14,25,8,3,9,8,18,8,16,6,13,14,6,5,2,2,0,0,0,5,1,1,6,7,11,22,17,22,33,18,18,12,25,39,30,16,13,9,2,3,1,0,0,0,0,0,1,3,1,9,6,12,11,8,4,10,7,8,3,2,2,0,0,0,1
45,0,0,0,0,0,1,1,1,7,7,5,3,2,2,2,7,3,8,4,2,1,0,0,0,0,0,0,1,0,5,5,7,25,7,11,12,10,8,19,13,5,17,1,7,0,1,2,0,0,1,0,0,0,0,0,0,4,3,2,0,0,2,4,5,2,2,1,1,0,0,0,0,1,0,1,0,1,3,5,8,14,10,19,23,13,19,16,17,6,18,7,1,3,7,3,0,0,0,0,2,3,3,7,24,22,11,18,10,7,16,16,12,19,13,6,2,8,2,0,1,0,0,0,0,2,2,9,24,16,19,21,6,16,12,15,15,5,15,10,7,14,4,1,4,2,1,0,1,0,3,1,33,18,20,26,20,22,16,14,22,27,35,19,13,10,0,0,3,0,0,0,0,0,0,5,4,8,12,7,9,4,9,8,8,8,4,1,1,0,2,1,1
46,0,0,0,0,0,1,2,5,0,5,2,7,3,6,1,3,7,13,6,2,3,1,1,0,1,0,0,1,1,1,8,22,10,27,11,15,2,11,10,10,13,7,7,2,7,3,0,0,2,0,0,0,0,0,2,4,2,3,1,3,1,2,0,1,2,2,1,2,1,1,0,0,1,1,1,1,2,5,3,5,9,16,20,23,10,19,10,22,22,17,9,9,1,0,5,2,0,1,0,2,3,2,8,26,23,14,7,9,14,19,12,13,12,14,5,4,2,5,1,2,0,0,0,0,0,3,4,22,20,14,14,14,8,17,6,14,3,8,14,6,9,3,3,3,0,2,1,0,3,9,1,26,24,11,21,24,12,13,25,23,31,38,18,2,8,9,4,1,0,0,0,0,0,0,4,4,15,11,7,10,2,6,11,4,10,2,1,3,1,1,1,0
47,0,0,0,0,0,0,0,3,2,3,5,3,3,1,3,5,5,3,4,2,0,1,0,1,0,0,0,0,0,1,8,13,19,16,18,3,19,4,16,9,12,4,4,4,4,1,1,1,0,0,0,0,0,0,0,0,1,1,2,2,3,5,6,3,0,5,1,0,0,1,0,0,1,0,0,2,4,3,7,20,11,14,14,15,11,14,18,8,18,26,12,2,3,5,2,4,1,0,1,2,0,1,11,23,20,23,11,14,9,9,16,11,5,11,6,6,8,4,2,3,0,0,1,0,1,1,20,37,21,10,11,7,6,17,9,13,7,9,9,5,10,1,1,1,2,1,0,2,0,1,21,32,17,17,31,18,26,13,21,21,22,34,13,18,6,3,1,1,0,0,0,0,0,0,4,5,5,7,6,8,6,1,7,6,8,4,1,0,2,0,0,0
48,0,0,0,0,1,0,1,5,4,3,3,3,2,6,2,4,2,20,1,3,2,0,0,0,0,0,1,0,0,1,5,12,23,9,7,13,2,15,5,15,3,9,4,6,5,1,1,0,0,0,0,0,0,0,2,1,0,1,1,3,2,1,3,4,0,4,2,1,0,1,0,0,0,1,0,1,5,5,8,13,12,22,14,16,17,11,13,22,17,15,11,1,1,1,1,2,1,0,1,3,0,3,7,29,15,20,11,14,17,16,11,17,15,10,9,5,7,4,2,2,0,1,0,0,0,2,16,24,16,13,15,5,7,14,14,9,15,18,3,9,6,9,0,5,2,1,1,3,1,0,6,29,16,23,15,22,16,18,21,25,25,56,14,7,13,5,3,0,0,1,1,1,0,1,5,3,9,15,6,4,1,8,6,5,5,13,2,0,0,0,0,0
49,0,0,0,0,0,0,0,3,3,4,7,5,3,5,2,2,11,3,6,1,5,0,0,0,0,1,1,0,0,3,3,25,8,10,8,5,10,12,13,6,11,7,2,1,1,2,3,0,0,0,0,0,0,1,0,2,3,3,0,3,2,1,4,1,1,4,0,1,1,3,1,0,2,0,0,1,0,3,6,6,15,11,18,14,10,14,20,9,19,24,7,4,3,1,1,0,1,1,1,0,2,1,8,23,20,14,17,15,12,16,19,23,11,14,4,2,6,6,1,3,2,0,0,0,1,3,8,24,21,11,11,11,7,23,15,16,10,13,9,8,2,3,0,3,2,1,2,2,0,4,14,15,9,21,30,23,20,24,13,16,26,18,23,7,7,6,3,2,0,0,0,0,0,0,5,4,8,13,5,11,4,6,8,4,6,4,3,0,0,2,0,0
50,1,0,0,0,0,2,2,3,3,3,3,4,4,4,2,3,9,17,2,1,0,2,0,0,0,0,0,1,1,4,9,8,17,6,10,3,11,18,8,15,8,12,0,7,0,3,4,1,0,0,0,0,0,0,0,2,1,3,3,3,3,1,2,3,3,7,3,2,1,1,0,0,0,0,2,0,4,3,4,7,21,26,15,22,12,8,16,27,15,22,8,6,4,4,1,1,1,1,2,1,3,2,9,34,29,20,12,8,19,10,19,19,6,14,4,5,4,2,0,1,2,1,0,0,0,2,22,16,11,20,17,6,12,13,14,10,4,13,6,15,8,7,0,1,0,2,1,5,1,4,5,27,23,24,20,30,21,30,15,33,44,41,12,7,11,3,2,2,0,1,0,0,0,1,3,10,9,6,9,9,6,4,5,6,8,6,1,0,1,1,0,1
