direction,ES,ES,ES,ES,ES,ES,ES,ES,ES,ES,ES,ES,ES,ES,ES,ES,ES,ES,ES,ES,ES,ES,ES,ES,EW,EW,EW,EW,EW,EW,EW,EW,EW,EW,EW,EW,EW,EW,EW,EW,EW,EW,EW,EW,EW,EW,EW,EW,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,SN,SN,SN,SN,SN,SN,SN,SN,SN,SN,SN,SN,SN,SN,SN,SN,SN,SN,SN,SN,SN,SN,SN,SN,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,WE,WE,WE,WE,WE,WE,WE,WE,WE,WE,WE,WE,WE,WE,WE,WE,WE,WE,WE,WE,WE,WE,WE,WE,WN,WN,WN,WN,WN,WN,WN,WN,WN,WN,WN,WN,WN,WN,WN,WN,WN,WN,WN,WN,WN,WN,WN,WN
hour,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
minute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,0,0,1,0,1,2,1,4,4,4,5,4,4,3,8,4,18,6,2,0,2,1,1,3,0,2,0,0,0,5,11,15,4,13,7,6,19,8,14,6,11,2,8,2,3,0,1,0,0,0,0,0,0,0,1,4,6,2,2,1,2,3,6,6,1,4,2,1,1,3,0,2,0,0,0,5,2,6,13,14,5,27,16,15,12,18,16,13,23,14,5,6,1,1,1,0,1,2,1,0,4,2,11,26,21,17,5,13,13,18,18,25,5,11,6,7,8,2,3,1,2,1,0,0,0,9,17,18,14,10,12,10,10,14,8,7,11,12,7,7,7,3,1,2,1,0,1,0,4,6,16,4,23,21,29,27,13,16,29,22,43,8,19,10,3,4,2,0,0,0,0,0,1,0,4,7,6,14,3,8,1,11,7,7,6,4,3,1,1,0,1
9,0,0,0,0,0,1,0,6,3,10,2,8,5,3,1,1,8,7,9,3,1,0,3,1,0,1,0,0,0,2,2,17,17,17,9,19,15,10,11,8,18,8,15,2,5,1,0,1,0,0,0,0,0,0,2,0,1,3,0,2,2,3,4,2,5,2,2,0,0,2,0,0,0,3,0,1,4,2,5,3,16,17,15,23,13,12,15,20,14,12,9,7,3,2,4,2,2,1,2,1,0,2,3,10,35,19,28,13,12,10,22,13,11,9,3,5,6,5,0,2,2,1,1,0,0,1,2,19,22,8,14,14,6,14,21,16,9,5,11,10,5,8,1,0,2,0,0,0,1,2,5,10,24,26,22,17,28,23,17,21,26,68,27,12,8,8,1,4,1,0,0,0,0,0,1,0,15,11,6,5,6,7,5,3,7,12,3,0,1,2,0,0
10,0,0,0,0,1,1,1,0,6,2,9,4,2,2,8,2,0,14,5,6,2,0,0,1,0,0,1,0,0,0,5,9,21,5,18,5,11,9,13,10,17,17,6,7,3,1,0,2,0,0,0,0,0,0,1,1,5,1,2,4,2,1,3,2,1,2,1,1,1,1,0,0,3,0,0,1,0,2,4,13,10,10,18,14,12,16,19,14,15,17,7,8,5,0,1,3,0,1,1,3,0,3,3,13,32,19,16,18,17,17,15,23,14,6,11,0,1,5,2,1,4,1,0,0,0,0,3,27,27,17,11,7,10,13,18,11,10,15,6,13,12,3,5,0,3,1,1,0,2,3,4,20,8,9,26,20,14,11,34,19,9,57,22,14,7,10,8,2,0,0,0,0,0,0,0,2,4,7,16,10,5,7,11,6,10,11,3,4,0,2,0,0
11,0,1,0,0,0,0,0,3,8,6,5,3,0,5,1,7,5,10,5,0,1,1,0,0,1,1,2,1,2,0,3,10,16,11,5,12,5,14,4,9,6,10,1,6,3,1,1,2,0,0,0,0,0,0,0,0,4,0,5,3,1,2,6,4,4,3,3,1,0,0,1,0,2,1,0,0,1,3,4,8,16,20,10,13,10,15,12,25,11,13,22,5,1,4,3,3,0,1,2,1,1,3,0,16,33,17,10,15,13,13,18,17,14,10,8,1,4,1,1,3,1,0,0,1,1,0,6,21,25,13,12,6,6,10,13,7,16,12,14,13,6,5,2,1,1,2,0,0,0,2,2,9,23,15,19,26,19,11,16,26,20,42,24,16,10,9,8,1,1,0,0,0,0,1,0,5,9,10,11,9,11,8,2,13,7,12,4,0,1,0,0,0
12,0,0,0,0,0,0,0,2,2,3,5,1,6,0,5,3,4,5,5,2,0,1,1,4,1,1,0,0,1,1,1,16,7,13,7,13,10,4,18,6,12,3,10,3,3,0,2,0,0,0,1,0,0,0,1,2,2,1,3,4,0,1,3,1,1,3,2,1,0,0,1,0,1,2,0,0,2,2,5,7,10,8,15,22,14,15,24,13,20,17,10,5,7,1,0,1,0,1,0,2,0,3,8,10,38,21,16,10,14,13,14,10,18,15,11,7,6,2,1,1,2,2,1,0,0,0,2,16,24,13,12,18,6,12,5,21,8,9,16,5,14,6,4,1,3,2,0,0,1,3,3,6,14,10,22,20,22,10,16,18,35,48,8,9,9,7,2,2,1,1,0,0,0,0,1,4,6,7,5,6,6,14,3,11,11,7,2,1,1,1,0,0
13,1,0,0,0,0,0,0,0,5,2,5,5,5,3,2,4,3,7,2,4,1,0,0,2,0,0,1,0,1,1,7,5,9,5,15,11,12,9,4,11,7,11,5,8,1,3,2,0,0,0,0,0,2,1,0,1,1,1,1,1,2,1,1,2,4,7,2,2,0,2,0,0,2,1,1,2,0,2,5,4,13,17,10,23,12,7,15,19,14,13,14,5,2,2,0,1,0,1,1,0,1,0,6,14,36,17,11,10,13,16,15,9,10,7,9,5,4,3,3,1,4,0,1,0,0,0,6,19,37,12,10,6,9,16,16,17,21,10,11,17,7,3,3,0,1,1,0,2,0,1,4,13,21,25,13,26,15,9,23,17,15,59,27,5,9,12,13,0,1,0,0,0,0,1,0,7,12,3,5,6,2,12,6,8,5,4,1,1,2,2,0,0
14,0,0,0,0,0,0,3,3,0,8,4,4,2,4,3,0,4,4,6,1,2,2,0,0,0,0,2,0,1,1,3,15,6,18,6,13,4,8,18,16,7,4,6,2,2,0,6,1,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,1,3,1,2,4,0,1,0,0,2,0,0,0,0,4,7,5,16,15,20,7,8,20,11,15,13,13,15,5,6,2,2,2,2,1,0,0,1,1,8,9,39,10,17,13,7,16,10,10,16,10,6,5,5,1,0,1,1,0,2,0,1,0,1,32,16,15,17,12,1,9,15,9,10,7,13,7,14,7,1,3,1,0,0,1,0,1,1,1,20,13,22,14,10,12,14,17,31,43,24,9,14,6,8,2,0,0,1,0,0,0,1,3,11,4,3,10,5,3,5,3,6,8,4,5,0,1,0,0
15,0,0,0,1,0,0,1,2,3,4,7,3,3,1,1,4,6,16,3,5,5,0,1,0,1,2,0,0,1,1,4,12,12,16,10,7,9,7,11,5,12,10,9,6,3,8,0,0,0,0,0,0,0,0,0,0,1,2,5,4,1,2,3,2,2,5,0,0,0,0,0,0,0,2,2,2,0,6,1,1,11,14,13,21,15,8,22,14,8,17,16,8,5,1,1,0,1,0,3,0,1,2,5,14,17,21,16,10,20,8,17,15,16,15,11,5,8,4,1,2,4,0,0,0,1,0,5,15,22,23,10,7,3,9,7,13,9,11,15,11,6,6,4,3,0,0,0,0,0,3,1,32,21,17,13,16,19,23,11,13,27,64,18,6,11,9,2,5,0,2,1,0,0,0,2,3,9,4,9,4,3,15,2,8,5,6,1,1,0,0,0,0
16,0,0,0,0,0,0,0,1,2,6,4,1,6,3,1,4,5,5,4,6,1,0,1,0,2,0,2,1,1,0,1,8,12,22,10,18,9,6,5,17,7,18,7,6,0,2,1,0,0,0,0,0,1,0,1,1,3,2,2,3,3,0,1,4,1,5,3,0,0,0,0,0,1,1,2,1,1,1,7,12,9,17,14,10,14,20,14,17,19,15,6,7,6,2,2,1,2,1,1,2,1,0,4,12,43,19,12,16,12,10,9,16,13,12,8,4,6,6,2,0,0,3,1,0,1,0,6,31,24,9,12,13,7,8,20,16,14,13,12,11,8,8,3,3,2,0,0,0,0,0,4,0,21,17,16,28,15,12,23,23,15,17,49,22,7,11,1,1,0,1,0,1,0,0,1,6,8,8,6,12,3,6,6,9,14,5,2,3,0,0,0,0
17,0,1,0,0,0,0,0,6,2,3,3,4,6,8,7,3,9,17,8,0,2,0,0,1,0,0,2,0,2,1,1,18,4,18,11,14,10,4,14,10,17,8,6,2,7,1,3,0,0,0,0,1,0,0,0,1,2,2,0,2,4,0,1,0,1,2,2,1,0,0,0,0,0,1,0,0,1,6,4,10,12,16,9,18,13,13,27,13,17,12,15,4,3,2,5,0,1,1,0,0,0,2,7,5,33,15,14,5,18,22,17,12,21,12,8,5,9,4,0,0,3,0,0,1,0,2,4,21,16,20,8,11,9,14,12,9,22,14,12,7,13,3,3,0,1,0,1,0,2,3,11,34,10,19,16,16,17,6,15,20,35,36,18,6,10,7,6,1,1,0,0,0,0,0,2,4,4,11,6,6,8,3,8,11,6,6,3,1,0,2,0,0
