,step,total_stopped
0,205.0,55
1,210.0,52
2,215.0,36
3,220.0,70
4,225.0,115
5,230.0,86
6,235.0,75
7,240.0,85
8,245.0,81
9,250.0,81
10,255.0,108
11,260.0,112
12,265.0,102
13,270.0,88
14,275.0,63
15,280.0,75
16,285.0,86
17,290.0,79
18,295.0,93
19,300.0,77
20,305.0,79
21,310.0,73
22,315.0,60
23,320.0,61
24,325.0,67
25,330.0,82
26,335.0,101
27,340.0,92
28,345.0,83
29,350.0,85
30,355.0,96
31,360.0,72
32,365.0,74
33,370.0,87
34,375.0,111
35,380.0,111
36,385.0,119
37,390.0,98
38,395.0,92
39,400.0,107
40,405.0,130
41,410.0,139
42,415.0,130
43,420.0,104
44,425.0,122
45,430.0,147
46,435.0,133
47,440.0,126
48,445.0,125
49,450.0,130
50,455.0,156
51,460.0,141
52,465.0,144
53,470.0,131
54,475.0,122
55,480.0,99
56,485.0,100
57,490.0,101
58,495.0,102
59,500.0,98
60,505.0,113
61,510.0,116
62,515.0,127
63,520.0,116
64,525.0,131
65,530.0,130
66,535.0,145
67,540.0,117
68,545.0,109
69,550.0,108
70,555.0,114
71,560.0,100
72,565.0,115
73,570.0,124
74,575.0,135
75,580.0,121
76,585.0,92
77,590.0,97
78,595.0,136
79,600.0,134
80,605.0,120
81,610.0,68
82,615.0,83
83,620.0,85
84,625.0,93
85,630.0,102
86,635.0,121
87,640.0,119
88,645.0,117
89,650.0,100
90,655.0,96
91,660.0,109
92,665.0,118
93,670.0,137
94,675.0,138
95,680.0,132
96,685.0,118
97,690.0,104
98,695.0,115
99,700.0,120
100,705.0,133
101,710.0,142
102,715.0,180
103,720.0,180
104,725.0,151
105,730.0,125
106,735.0,119
107,740.0,121
108,745.0,129
109,750.0,123
110,755.0,125
111,760.0,115
112,765.0,144
113,770.0,143
114,775.0,135
115,780.0,101
116,785.0,103
117,790.0,90
118,795.0,96
119,800.0,99
120,805.0,130
121,810.0,153
122,815.0,190
123,820.0,158
124,825.0,150
125,830.0,126
126,835.0,139
127,840.0,130
128,845.0,139
129,850.0,155
130,855.0,144
131,860.0,116
132,865.0,94
133,870.0,94
134,875.0,104
135,880.0,137
136,885.0,144
137,890.0,144
138,895.0,147
139,900.0,159
140,905.0,153
141,910.0,155
142,915.0,146
143,920.0,146
144,925.0,167
145,930.0,169
146,935.0,169
147,940.0,142
148,945.0,135
149,950.0,123
150,955.0,126
151,960.0,133
152,965.0,146
153,970.0,169
154,975.0,161
155,980.0,107
156,985.0,98
157,990.0,92
158,995.0,99
159,1000.0,126
160,1005.0,149
161,1010.0,124
162,1015.0,136
163,1020.0,128
164,1025.0,115
165,1030.0,99
166,1035.0,103
167,1040.0,107
168,1045.0,105
169,1050.0,98
170,1055.0,116
171,1060.0,106
172,1065.0,113
173,1070.0,119
174,1075.0,144
175,1080.0,156
176,1085.0,156
177,1090.0,148
178,1095.0,157
179,1100.0,153
180,1105.0,155
181,1110.0,150
182,1115.0,146
183,1120.0,147
184,1125.0,152
185,1130.0,162
186,1135.0,140
187,1140.0,105
188,1145.0,128
189,1150.0,126
190,1155.0,134
191,1160.0,106
192,1165.0,95
193,1170.0,69
194,1175.0,93
195,1180.0,102
196,1185.0,118
197,1190.0,118
198,1195.0,128
199,1200.0,120
200,1205.0,124
201,1210.0,124
202,1215.0,102
203,1220.0,84
204,1225.0,113
205,1230.0,125
206,1235.0,104
207,1240.0,92
208,1245.0,88
209,1250.0,106
210,1255.0,135
211,1260.0,133
212,1265.0,127
213,1270.0,113
214,1275.0,106
215,1280.0,114
216,1285.0,129
217,1290.0,111
218,1295.0,123
219,1300.0,147
220,1305.0,136
221,1310.0,130
222,1315.0,130
223,1320.0,136
224,1325.0,139
225,1330.0,141
226,1335.0,136
227,1340.0,140
228,1345.0,153
229,1350.0,138
230,1355.0,112
231,1360.0,122
232,1365.0,138
233,1370.0,137
234,1375.0,172
235,1380.0,126
236,1385.0,92
237,1390.0,91
238,1395.0,106
239,1400.0,91
240,1405.0,93
241,1410.0,97
242,1415.0,86
243,1420.0,88
244,1425.0,81
245,1430.0,92
246,1435.0,102
247,1440.0,83
248,1445.0,83
249,1450.0,77
250,1455.0,90
251,1460.0,109
252,1465.0,139
253,1470.0,156
254,1475.0,125
255,1480.0,82
256,1485.0,93
257,1490.0,97
258,1495.0,95
259,1500.0,122
260,1505.0,115
261,1510.0,96
262,1515.0,84
263,1520.0,69
264,1525.0,92
265,1530.0,103
266,1535.0,105
267,1540.0,94
268,1545.0,107
269,1550.0,120
270,1555.0,138
271,1560.0,137
272,1565.0,123
273,1570.0,89
274,1575.0,105
275,1580.0,125
276,1585.0,121
277,1590.0,105
278,1595.0,91
279,1600.0,114
280,1605.0,119
281,1610.0,107
282,1615.0,124
283,1620.0,108
284,1625.0,91
285,1630.0,102
286,1635.0,106
287,1640.0,103
288,1645.0,96
289,1650.0,81
290,1655.0,80
291,1660.0,107
292,1665.0,113
293,1670.0,114
294,1675.0,127
295,1680.0,125
296,1685.0,147
297,1690.0,124
298,1695.0,142
299,1700.0,126
300,1705.0,128
301,1710.0,129
302,1715.0,156
303,1720.0,147
304,1725.0,111
305,1730.0,94
306,1735.0,83
307,1740.0,84
308,1745.0,100
309,1750.0,84
310,1755.0,92
311,1760.0,90
312,1765.0,115
313,1770.0,108
314,1775.0,111
315,1780.0,116
316,1785.0,100
317,1790.0,82
318,1795.0,78
319,1800.0,87
320,1805.0,89
321,1810.0,71
322,1815.0,81
323,1820.0,85
324,1825.0,107
325,1830.0,115
326,1835.0,111
327,1840.0,91
328,1845.0,102
329,1850.0,88
330,1855.0,87
331,1860.0,88
332,1865.0,117
333,1870.0,137
334,1875.0,140
335,1880.0,122
336,1885.0,129
337,1890.0,109
338,1895.0,111
339,1900.0,109
340,1905.0,108
341,1910.0,111
342,1915.0,114
343,1920.0,120
344,1925.0,133
345,1930.0,150
346,1935.0,161
347,1940.0,140
348,1945.0,125
349,1950.0,96
350,1955.0,95
351,1960.0,131
352,1965.0,149
353,1970.0,130
354,1975.0,135
355,1980.0,138
356,1985.0,153
357,1990.0,141
358,1995.0,134
359,2000.0,131
360,2005.0,124
361,2010.0,131
362,2015.0,131
363,2020.0,140
364,2025.0,138
365,2030.0,124
366,2035.0,123
367,2040.0,118
368,2045.0,135
369,2050.0,132
370,2055.0,115
371,2060.0,92
372,2065.0,112
373,2070.0,114
374,2075.0,127
