,buffer_size,step_time,total_stopped,total_wait_time
182,396,1215.0,125,8709.0
183,396,1220.0,126,8870.0
184,400,1225.0,137,9263.0
185,403,1230.0,140,9273.0
186,408,1235.0,145,8931.0
187,411,1240.0,151,9426.0
188,417,1245.0,144,10013.0
189,419,1250.0,109,9960.0
190,425,1255.0,79,9903.0
191,427,1260.0,88,9427.0
192,433,1265.0,98,9762.0
193,432,1270.0,117,9957.0
194,434,1275.0,103,9821.0
195,436,1280.0,96,9934.0
196,437,1285.0,114,10253.0
197,438,1290.0,134,10179.0
198,439,1295.0,141,10444.0
199,441,1300.0,128,10661.0
200,444,1305.0,118,10772.0
201,446,1310.0,105,11214.0
202,449,1315.0,117,11166.0
203,451,1320.0,143,11054.0
204,457,1325.0,159,11884.0
205,459,1330.0,149,12416.0
206,463,1335.0,147,12543.0
207,467,1340.0,159,12697.0
208,473,1345.0,139,12428.0
209,477,1350.0,124,12831.0
210,483,1355.0,125,13316.0
211,484,1360.0,107,13608.0
212,488,1365.0,108,13341.0
213,488,1370.0,98,12852.0
214,491,1375.0,68,12323.0
215,492,1380.0,78,11921.0
216,495,1385.0,93,12320.0
217,494,1390.0,126,11947.0
218,497,1395.0,151,11819.0
219,497,1400.0,134,12310.0
220,497,1405.0,160,12463.0
221,497,1410.0,141,12147.0
222,500,1415.0,163,11948.0
223,502,1420.0,191,12625.0
224,509,1425.0,191,13211.0
225,513,1430.0,179,13248.0
226,525,1435.0,150,13778.0
227,531,1440.0,118,13764.0
228,539,1445.0,93,13734.0
229,542,1450.0,79,13970.0
230,544,1455.0,84,13976.0
231,543,1460.0,115,13600.0
232,543,1465.0,113,14171.0
233,544,1470.0,90,14395.0
234,545,1475.0,87,14040.0
235,549,1480.0,100,12827.0
236,550,1485.0,109,12652.0
237,551,1490.0,123,12941.0
238,552,1495.0,128,12930.0
239,554,1500.0,109,12569.0
240,557,1505.0,88,11576.0
241,559,1510.0,80,11688.0
242,562,1515.0,100,12453.0
243,562,1520.0,100,12325.0
244,562,1525.0,90,11353.0
245,562,1530.0,93,10780.0
246,566,1535.0,112,10963.0
247,567,1540.0,122,11281.0
248,569,1545.0,133,11420.0
249,571,1550.0,168,11650.0
250,578,1555.0,179,11706.0
251,582,1560.0,182,12097.0
252,589,1565.0,172,12054.0
253,590,1570.0,156,12174.0
254,593,1575.0,124,11827.0
255,595,1580.0,98,11369.0
256,597,1585.0,99,10707.0
257,599,1590.0,104,10681.0
258,599,1595.0,113,10745.0
259,601,1600.0,102,10984.0
260,602,1605.0,93,10933.0
261,603,1610.0,94,10859.0
262,606,1615.0,92,10624.0
263,607,1620.0,101,9862.0
264,610,1625.0,118,9982.0
265,612,1630.0,147,10515.0
266,616,1635.0,157,10804.0
267,618,1640.0,154,11165.0
268,619,1645.0,154,11559.0
