分钟,路口号+车道号,车流量
2024-10-20 01:14:00,SN,1
2024-10-20 01:15:00,EW,1
2024-10-20 01:15:00,NS,1
2024-10-20 01:15:00,WN,1
2024-10-20 01:16:00,SN,1
2024-10-20 01:16:00,SW,2
2024-10-20 01:17:00,ES,1
2024-10-20 01:17:00,NS,1
2024-10-20 01:18:00,ES,1
2024-10-20 01:18:00,NS,1
2024-10-20 01:18:00,SW,1
2024-10-20 01:18:00,WE,1
2024-10-20 01:19:00,NS,1
2024-10-20 01:19:00,SN,1
2024-10-20 01:20:00,WE,1
2024-10-20 01:21:00,NS,1
2024-10-20 01:21:00,SW,1
2024-10-20 01:23:00,EW,1
2024-10-20 01:23:00,SW,2
2024-10-20 01:23:00,WN,1
2024-10-20 01:24:00,SW,4
2024-10-20 01:24:00,WE,1
2024-10-20 01:24:00,WN,1
2024-10-20 01:25:00,EW,1
2024-10-20 01:25:00,NS,1
2024-10-20 01:25:00,SN,2
2024-10-20 01:25:00,WE,2
2024-10-20 01:26:00,EW,1
2024-10-20 01:26:00,WE,1
2024-10-20 01:26:00,WN,1
2024-10-20 01:27:00,EW,1
2024-10-20 01:27:00,SN,1
2024-10-20 01:27:00,SW,2
2024-10-20 01:27:00,WE,1
2024-10-20 01:29:00,EW,1
2024-10-20 01:29:00,NS,1
2024-10-20 01:30:00,SN,1
2024-10-20 01:32:00,EW,1
2024-10-20 01:32:00,NS,1
2024-10-20 01:32:00,WE,1
2024-10-20 01:32:00,WN,1
2024-10-20 01:33:00,NE,1
2024-10-20 01:33:00,SW,1
2024-10-20 01:36:00,ES,1
2024-10-20 01:36:00,EW,1
2024-10-20 01:36:00,SN,1
2024-10-20 01:36:00,SW,1
2024-10-20 01:37:00,SN,2
2024-10-20 01:38:00,EW,2
2024-10-20 01:38:00,SN,1
2024-10-20 01:39:00,NS,2
2024-10-20 01:40:00,NS,1
2024-10-20 01:40:00,SN,1
2024-10-20 01:41:00,NS,1
2024-10-20 01:42:00,WE,1
2024-10-20 01:43:00,SN,3
2024-10-20 01:43:00,SW,1
2024-10-20 01:43:00,WE,3
2024-10-20 01:44:00,SN,1
2024-10-20 01:45:00,NE,1
2024-10-20 01:46:00,NS,1
2024-10-20 01:46:00,SN,1
2024-10-20 01:47:00,WE,1
2024-10-20 01:48:00,NS,1
2024-10-20 01:48:00,SW,1
2024-10-20 01:48:00,WE,1
2024-10-20 01:50:00,SN,1
2024-10-20 01:50:00,SW,1
2024-10-20 01:50:00,WE,2
2024-10-20 01:50:00,WN,1
2024-10-20 01:51:00,NS,1
2024-10-20 01:52:00,EW,1
2024-10-20 01:52:00,NS,1
2024-10-20 01:52:00,SW,1
2024-10-20 01:53:00,NS,1
2024-10-20 01:54:00,NS,1
2024-10-20 01:54:00,WE,2
2024-10-20 01:55:00,ES,1
2024-10-20 01:55:00,NS,1
2024-10-20 01:55:00,SW,1
2024-10-20 01:55:00,WE,1
2024-10-20 01:56:00,SN,2
2024-10-20 01:56:00,WE,3
2024-10-20 01:57:00,SN,2
2024-10-20 01:57:00,WE,1
2024-10-20 01:58:00,EW,2
2024-10-20 01:58:00,SN,1
2024-10-20 01:58:00,SW,1
2024-10-20 01:58:00,WN,1
2024-10-20 01:59:00,EW,1
2024-10-20 01:59:00,NS,1
2024-10-20 02:00:00,EW,1
2024-10-20 02:01:00,NE,1
2024-10-20 02:02:00,EW,1
2024-10-20 02:05:00,SN,1
2024-10-20 02:05:00,SW,1
2024-10-20 02:05:00,WE,1
2024-10-20 02:06:00,EW,1
2024-10-20 02:06:00,NS,1
2024-10-20 02:06:00,SW,1
2024-10-20 02:07:00,SW,1
2024-10-20 02:08:00,EW,1
2024-10-20 02:08:00,SN,2
2024-10-20 02:09:00,SN,1
2024-10-20 02:09:00,SW,1
2024-10-20 02:11:00,EW,1
2024-10-20 02:11:00,SN,2
2024-10-20 02:12:00,SW,1
2024-10-20 02:13:00,EW,1
2024-10-20 02:14:00,EW,1
2024-10-20 02:15:00,SN,1
2024-10-20 02:16:00,NS,1
2024-10-20 02:16:00,SN,1
2024-10-20 02:16:00,SW,1
2024-10-20 02:17:00,EW,1
2024-10-20 02:18:00,SN,1
2024-10-20 02:18:00,WN,1
2024-10-20 02:20:00,SW,3
2024-10-20 02:21:00,SW,1
2024-10-20 02:22:00,EW,1
2024-10-20 02:22:00,SN,2
2024-10-20 02:23:00,NS,1
2024-10-20 02:23:00,SN,1
2024-10-20 02:23:00,SW,1
2024-10-20 02:24:00,NS,1
2024-10-20 02:25:00,SW,1
2024-10-20 02:26:00,WN,2
2024-10-20 02:28:00,NS,1
2024-10-20 02:28:00,SN,1
2024-10-20 02:29:00,WE,1
2024-10-20 02:30:00,NS,1
2024-10-20 02:31:00,SW,1
2024-10-20 02:33:00,EW,1
2024-10-20 02:33:00,NS,1
2024-10-20 02:34:00,SN,1
2024-10-20 02:34:00,SW,1
2024-10-20 02:35:00,WE,1
2024-10-20 02:36:00,NS,2
2024-10-20 02:36:00,WE,1
2024-10-20 02:37:00,NS,1
2024-10-20 02:39:00,WN,1
2024-10-20 02:41:00,EW,1
2024-10-20 02:42:00,NS,1
2024-10-20 02:42:00,SN,2
2024-10-20 02:43:00,NS,2
2024-10-20 02:44:00,NS,1
2024-10-20 02:44:00,WE,3
2024-10-20 02:45:00,NS,1
2024-10-20 02:48:00,WE,1
2024-10-20 02:48:00,WN,1
2024-10-20 02:49:00,WE,1
2024-10-20 02:50:00,SN,1
2024-10-20 02:51:00,SN,2
2024-10-20 02:52:00,NS,1
2024-10-20 02:52:00,WE,1
2024-10-20 02:53:00,EW,1
2024-10-20 02:54:00,EW,1
2024-10-20 02:56:00,EW,1
2024-10-20 02:56:00,NS,1
2024-10-20 02:56:00,WE,1
2024-10-20 02:57:00,SW,1
2024-10-20 02:57:00,WE,2
2024-10-20 02:58:00,SN,1
2024-10-20 02:58:00,WE,1
2024-10-20 02:59:00,EW,1
2024-10-20 02:59:00,WE,1
2024-10-20 03:00:00,SN,1
2024-10-20 03:00:00,WE,1
2024-10-20 03:00:00,WN,1
2024-10-20 03:01:00,NS,1
2024-10-20 03:02:00,EW,1
2024-10-20 03:03:00,NS,1
2024-10-20 03:03:00,SN,1
2024-10-20 03:04:00,WE,1
2024-10-20 03:06:00,NS,1
2024-10-20 03:07:00,SW,1
2024-10-20 03:08:00,WE,1
2024-10-20 03:09:00,NS,1
2024-10-20 03:09:00,SN,1
2024-10-20 03:10:00,SN,1
2024-10-20 03:11:00,EW,1
2024-10-20 03:11:00,SN,1
2024-10-20 03:11:00,SW,1
2024-10-20 03:13:00,NS,1
2024-10-20 03:13:00,WE,1
2024-10-20 03:14:00,WE,1
2024-10-20 03:15:00,NS,1
2024-10-20 03:16:00,EW,1
2024-10-20 03:16:00,NS,1
2024-10-20 03:16:00,WN,1
2024-10-20 03:17:00,SW,1
2024-10-20 03:18:00,EW,1
2024-10-20 03:18:00,SN,2
2024-10-20 03:19:00,EW,1
2024-10-20 03:19:00,SN,1
2024-10-20 03:19:00,SW,1
2024-10-20 03:20:00,EW,2
2024-10-20 03:20:00,NS,1
2024-10-20 03:20:00,SN,1
